,month,name,plot.id,species,family,fg.fine,bites,bitesm2,area,plot.area
1,March,lo-4-1,shaded 4,Scarus ghobban ,Labridae (scarids),Herbivore Scraper,12,3,4,shaded
2,March,lo-4-1,shaded 4,Scarus ghobban ,Labridae (scarids),Herbivore Scraper,13,3.25,4,shaded
3,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
4,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
5,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
6,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
7,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,6,1.5,4,shaded
8,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
9,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
10,March,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,7,1.75,4,shaded
11,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
12,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
13,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
14,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
15,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
16,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
17,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
18,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,9,2.25,4,shaded
19,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
20,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
21,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
22,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
23,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
24,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
25,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
