macroalgae.yes.no,binary,name,time,plot.id
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
S,0,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
S,0,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
S,0,lo-4-1,January,shaded 4
S,0,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
S,0,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
S,0,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
SARG,1,lo-4-1,January,shaded 4
S,0,lo-4-2,January,shaded 4
SARG,1,lo-4-2,January,shaded 4
S,0,lo-4-2,January,shaded 4
S,0,lo-4-2,January,shaded 4
SARG,1,lo-4-2,January,shaded 4
SARG,1,lo-4-2,January,shaded 4
S,0,lo-4-2,January,shaded 4
SARG,1,lo-4-2,January,shaded 4
S,0,lo-4-2,January,shaded 4
S,0,lo-4-2,January,shaded 4
